Vessel,Task,Wharf,Time
FF2,Waiting,TZ1,05:40-05:45
FF5,Waiting,TZ1,05:40-05:45
FF5,Waiting,TZ1,05:45-05:50
EC4,3,TZ1,09:20-09:25
EC4,Waiting,TZ1,09:25-09:30
EC4,3,TZ1,09:25-09:30
EC4,Waiting,TZ1,09:30-09:35
EC4,3,TZ1,09:30-09:35
EC4,Waiting,TZ1,09:35-09:40
FF1,3,TZ1,09:55-10:00
FF1,Waiting,TZ1,10:00-10:05
FF1,3,TZ1,10:00-10:05
FF1,Waiting,TZ1,10:05-10:10
FF1,3,TZ1,10:05-10:10
EC2,3,TZ1,10:30-10:35
EC2,Waiting,TZ1,10:35-10:40
EC2,3,TZ1,10:35-10:40
EC2,3,TZ1,10:40-10:45
FF4,3,TZ1,11:05-11:10
FF4,3,TZ1,11:10-11:15
FF4,3,TZ1,11:15-11:20
