Vessel,Task,Wharf,Time
V14,Waiting,CI1,05:35-05:40
V19,Waiting,CI1,05:40-05:45
V7,Waiting,CI1,05:40-05:45
V10,F8 - Cockatoo Island,CI1,06:40-06:45
V10,F8 - Cockatoo Island,CI1,06:45-06:50
V10,F8 - Cockatoo Island,CI1,06:50-06:55
V7,F8 - Cockatoo Island,CI1,07:10-07:15
V7,F8 - Cockatoo Island,CI1,07:15-07:20
V7,F8 - Cockatoo Island,CI1,07:20-07:25
V1,F8 - Cockatoo Island,CI1,07:40-07:45
V1,F8 - Cockatoo Island,CI1,07:45-07:50
V1,F8 - Cockatoo Island,CI1,07:50-07:55
V4,F8 - Cockatoo Island,CI1,08:10-08:15
V4,F8 - Cockatoo Island,CI1,08:15-08:20
V4,F8 - Cockatoo Island,CI1,08:20-08:25
V5,F8 - Cockatoo Island,CI1,08:40-08:45
V5,F8 - Cockatoo Island,CI1,08:45-08:50
V5,F8 - Cockatoo Island,CI1,08:50-08:55
V10,F8 - Cockatoo Island,CI1,09:10-09:15
V10,F8 - Cockatoo Island,CI1,09:15-09:20
V10,F8 - Cockatoo Island,CI1,09:20-09:25
V3,F8 - Cockatoo Island,CI1,09:40-09:45
V3,F8 - Cockatoo Island,CI1,09:45-09:50
V3,F8 - Cockatoo Island,CI1,09:50-09:55
V8,F8 - Cockatoo Island,CI1,10:10-10:15
V8,F8 - Cockatoo Island,CI1,10:15-10:20
V8,F8 - Cockatoo Island,CI1,10:20-10:25
V6,Waiting,CI1,11:20-11:25
V6,Waiting,CI1,11:25-11:30
