Vessel,Task,Wharf,Time
V17,Waiting,RB1,06:00-06:05
V15,F9 - Rose Bay,RB1,06:10-06:15
V15,F9 - Rose Bay,RB1,06:15-06:20
V12,F9 - Rose Bay,RB1,06:30-06:35
V12,F9 - Rose Bay,RB1,06:35-06:40
V13,F9 - Rose Bay,RB1,06:50-06:55
V13,F9 - Rose Bay,RB1,06:55-07:00
V17,F9 - Rose Bay,RB1,07:10-07:15
V17,F9 - Rose Bay,RB1,07:15-07:20
V16,F9 - Rose Bay,RB1,07:30-07:35
V16,F9 - Rose Bay,RB1,07:35-07:40
V14,F9 - Rose Bay,RB1,07:50-07:55
V14,F9 - Rose Bay,RB1,07:55-08:00
V15,F9 - Rose Bay,RB1,08:10-08:15
V15,F9 - Rose Bay,RB1,08:15-08:20
V12,F9 - Rose Bay,RB1,08:30-08:35
V12,F9 - Rose Bay,RB1,08:35-08:40
V13,F9 - Rose Bay,RB1,08:50-08:55
V13,F9 - Rose Bay,RB1,08:55-09:00
V17,F9 - Rose Bay,RB1,09:10-09:15
V17,F9 - Rose Bay,RB1,09:15-09:20
