Vessel,Task,Wharf,Time
V19,F11 - Blackwattle Bay,BWB1,06:35-06:40
V19,F11 - Blackwattle Bay,BWB1,06:40-06:45
V19,F11 - Blackwattle Bay,BWB1,06:45-06:50
V18,F11 - Blackwattle Bay,BWB1,07:05-07:10
V18,F11 - Blackwattle Bay,BWB1,07:10-07:15
V18,F11 - Blackwattle Bay,BWB1,07:15-07:20
V19,F11 - Blackwattle Bay,BWB1,07:35-07:40
V19,F11 - Blackwattle Bay,BWB1,07:40-07:45
V19,F11 - Blackwattle Bay,BWB1,07:45-07:50
V18,F11 - Blackwattle Bay,BWB1,08:05-08:10
V18,F11 - Blackwattle Bay,BWB1,08:10-08:15
V18,F11 - Blackwattle Bay,BWB1,08:15-08:20
V19,F11 - Blackwattle Bay,BWB1,08:35-08:40
V19,F11 - Blackwattle Bay,BWB1,08:40-08:45
V19,F11 - Blackwattle Bay,BWB1,08:45-08:50
V18,F11 - Blackwattle Bay,BWB1,09:05-09:10
V18,F11 - Blackwattle Bay,BWB1,09:10-09:15
V18,F11 - Blackwattle Bay,BWB1,09:15-09:20
V19,F11 - Blackwattle Bay,BWB1,09:35-09:40
V19,F11 - Blackwattle Bay,BWB1,09:40-09:45
V19,F11 - Blackwattle Bay,BWB1,09:45-09:50
V5,Waiting,BWB1,11:20-11:25
V5,Waiting,BWB1,11:25-11:30
