Vessel,Task,Wharf,Time
V16,Waiting,CQ1,05:40-05:45
V17,Waiting,CQ1,05:40-05:45
V12,Waiting,CQ1,05:45-05:50
V13,Waiting,CQ1,05:45-05:50
V8,Waiting,CQ1,05:50-05:55
V13,Waiting,CQ1,05:50-05:55
V13,Waiting,CQ1,05:55-06:00
V11,Waiting,CQ1,05:55-06:00
V5,Waiting,CQ1,06:00-06:05
V11,Waiting,CQ1,06:00-06:05
V11,Waiting,CQ1,06:05-06:10
V5,Waiting,CQ1,06:05-06:10
V5,Waiting,CQ1,06:10-06:15
V3,Waiting,CQ1,06:10-06:15
V3,Waiting,CQ1,06:15-06:20
V19,Waiting,CQ1,06:15-06:20
V8,3,CQ1,06:30-06:35
V14,Waiting,CQ1,06:30-06:35
V12,7,CQ1,06:35-06:40
V7,Waiting,CQ1,06:40-06:45
V12,7,CQ1,06:40-06:45
V15,Waiting,CQ1,06:50-06:55
V10,Waiting,CQ1,06:50-06:55
V13,7,CQ1,06:55-07:00
V1,4,CQ1,06:55-07:00
V1,4,CQ1,07:00-07:05
V13,7,CQ1,07:00-07:05
V6,5,CQ1,07:05-07:10
V6,5,CQ1,07:10-07:15
V16,2,CQ1,07:10-07:15
V14,7,CQ1,07:15-07:20
V4,6,CQ1,07:20-07:25
V14,7,CQ1,07:20-07:25
V4,6,CQ1,07:25-07:30
V2,4,CQ1,07:25-07:30
V16,2,CQ1,07:25-07:30
V2,4,CQ1,07:30-07:35
V4,6,CQ1,07:30-07:35
V7,5,CQ1,07:35-07:40
V15,7,CQ1,07:35-07:40
V15,7,CQ1,07:40-07:45
V7,5,CQ1,07:40-07:45
V12,2,CQ1,07:50-07:55
V5,6,CQ1,07:50-07:55
V16,7,CQ1,07:55-08:00
V5,6,CQ1,07:55-08:00
V16,7,CQ1,08:00-08:05
V5,6,CQ1,08:00-08:05
V8,5,CQ1,08:05-08:10
V12,2,CQ1,08:05-08:10
V13,2,CQ1,08:10-08:15
V8,5,CQ1,08:10-08:15
V17,7,CQ1,08:15-08:20
V6,6,CQ1,08:20-08:25
V17,7,CQ1,08:20-08:25
V6,6,CQ1,08:25-08:30
V13,2,CQ1,08:25-08:30
V4,4,CQ1,08:25-08:30
V6,6,CQ1,08:30-08:35
V4,4,CQ1,08:30-08:35
V9,5,CQ1,08:35-08:40
V12,7,CQ1,08:35-08:40
V9,5,CQ1,08:40-08:45
V12,7,CQ1,08:40-08:45
V3,Waiting,CQ1,08:45-08:50
V7,6,CQ1,08:50-08:55
V15,2,CQ1,08:50-08:55
V13,7,CQ1,08:55-09:00
V7,6,CQ1,08:55-09:00
V13,7,CQ1,09:00-09:05
V7,6,CQ1,09:00-09:05
V10,5,CQ1,09:05-09:10
V15,2,CQ1,09:05-09:10
V10,5,CQ1,09:10-09:15
V16,2,CQ1,09:10-09:15
V14,7,CQ1,09:15-09:20
V16,Waiting,CQ1,09:15-09:20
V8,6,CQ1,09:20-09:25
V14,7,CQ1,09:20-09:25
V8,6,CQ1,09:25-09:30
V16,2,CQ1,09:25-09:30
V6,4,CQ1,09:25-09:30
V6,4,CQ1,09:30-09:35
V8,6,CQ1,09:30-09:35
V11,5,CQ1,09:35-09:40
V15,7,CQ1,09:35-09:40
V15,7,CQ1,09:40-09:45
V11,5,CQ1,09:40-09:45
V12,2,CQ1,09:50-09:55
V9,6,CQ1,09:50-09:55
V9,6,CQ1,09:55-10:00
V7,4,CQ1,09:55-10:00
V7,4,CQ1,10:00-10:05
V9,6,CQ1,10:00-10:05
V3,1,CQ1,10:05-10:10
V1,5,CQ1,10:05-10:10
V1,5,CQ1,10:10-10:15
V3,1,CQ1,10:10-10:15
V3,1,CQ1,10:15-10:20
V10,6,CQ1,10:20-10:25
V13,2,CQ1,10:20-10:25
V13,Waiting,CQ1,10:25-10:30
V10,6,CQ1,10:25-10:30
V16,8,CQ1,10:30-10:35
V10,6,CQ1,10:30-10:35
V2,5,CQ1,10:35-10:40
V16,8,CQ1,10:35-10:40
V16,8,CQ1,10:40-10:45
V2,5,CQ1,10:40-10:45
V7,Waiting,CQ1,10:45-10:50
V14,2,CQ1,10:50-10:55
V11,6,CQ1,10:50-10:55
V11,6,CQ1,10:55-11:00
V14,Waiting,CQ1,10:55-11:00
V11,6,CQ1,11:00-11:05
V12,8,CQ1,11:00-11:05
V12,8,CQ1,11:05-11:10
V3,5,CQ1,11:05-11:10
V12,8,CQ1,11:10-11:15
V3,5,CQ1,11:10-11:15
V14,Waiting,CQ1,11:15-11:20
V13,Waiting,CQ1,11:15-11:20
V14,Waiting,CQ1,11:20-11:25
V16,Waiting,CQ1,11:20-11:25
V16,Waiting,CQ1,11:25-11:30
V14,Waiting,CQ1,11:25-11:30
