Vessel,Task,Wharf,Time
V6,F7 - Double Bay,DB1,06:35-06:40
V6,F7 - Double Bay,DB1,06:40-06:45
V7,F7 - Double Bay,DB1,07:05-07:10
V7,F7 - Double Bay,DB1,07:10-07:15
V8,F7 - Double Bay,DB1,07:35-07:40
V8,F7 - Double Bay,DB1,07:40-07:45
V9,F7 - Double Bay,DB1,08:05-08:10
V9,F7 - Double Bay,DB1,08:10-08:15
V10,F7 - Double Bay,DB1,08:35-08:40
V10,F7 - Double Bay,DB1,08:40-08:45
V11,F7 - Double Bay,DB1,09:05-09:10
V11,F7 - Double Bay,DB1,09:10-09:15
V3,F7 - Double Bay,DB1,09:35-09:40
V3,F7 - Double Bay,DB1,09:40-09:45
V2,F7 - Double Bay,DB1,10:05-10:10
V2,F7 - Double Bay,DB1,10:10-10:15
V3,F7 - Double Bay,DB1,10:35-10:40
V3,F7 - Double Bay,DB1,10:40-10:45
