Vessel,Task,Wharf,Time
V16,Waiting,CQ3,05:40-05:45
V12,Waiting,CQ3,05:40-05:45
V13,Waiting,CQ3,05:50-05:55
V16,Waiting,CQ3,05:50-05:55
V13,Waiting,CQ3,05:55-06:00
V4,Waiting,CQ3,06:35-06:40
V15,Waiting,CQ3,06:40-06:45
V2,Waiting,CQ3,07:20-07:25
V9,Waiting,CQ3,07:20-07:25
V9,Crew pause,CQ3,07:25-07:30
V9,Crew pause,CQ3,07:30-07:35
V9,Crew pause,CQ3,07:35-07:40
V9,Crew pause,CQ3,07:40-07:45
V9,Crew pause,CQ3,07:45-07:50
V9,Crew pause,CQ3,07:50-07:55
V3,F2 - Zoo/Mosman (Peak),CQ3,08:15-08:20
V14,F9 - Rose Bay,CQ3,08:15-08:20
V4,Waiting,CQ3,08:20-08:25
V11,Waiting,CQ3,08:35-08:40
V15,F4 - Pyrmont Bay,CQ3,08:45-08:50
V2,Waiting,CQ3,08:50-08:55
V10,Waiting,CQ3,08:50-08:55
V5,F8 - Cockatoo Island,CQ3,09:00-09:05
V3,Waiting,CQ3,09:15-09:20
V12,F9 - Rose Bay,CQ3,09:15-09:20
V12,Waiting,CQ3,09:20-09:25
V14,F4 - Pyrmont Bay,CQ3,09:25-09:30
V14,Waiting,CQ3,09:30-09:35
V15,F9 - Rose Bay,CQ3,09:35-09:40
V15,Waiting,CQ3,09:40-09:45
V16,F4 - Pyrmont Bay,CQ3,09:45-09:50
V5,F2 - Taronga Zoo (off peak),CQ3,09:45-09:50
V3,Waiting,CQ3,09:55-10:00
V3,Waiting,CQ3,10:00-10:05
V8,F6 - Mosman (off peak),CQ3,10:15-10:20
V17,F4 - Pyrmont Bay,CQ3,10:15-10:20
V18,Waiting,CQ3,10:30-10:35
V14,F4 - Pyrmont Bay,CQ3,10:45-10:50
V5,Waiting,CQ3,10:45-10:50
V19,Crew pause,CQ3,11:00-11:05
V19,Crew pause,CQ3,11:05-11:10
V19,Crew pause,CQ3,11:10-11:15
V19,Crew pause,CQ3,11:15-11:20
V19,Crew pause,CQ3,11:20-11:25
V4,Waiting,CQ3,11:25-11:30
V19,Crew pause,CQ3,11:25-11:30
