Vessel,Task,Wharf,Time
V4,Charging,Bar2,05:35-05:40
V8,Charging,Bar2,05:35-05:40
V4,Charging,Bar2,05:40-05:45
V3,Crew Break,Bar2,05:40-06:10
V2,Charging,Bar2,05:45-05:50
V2,Charging,Bar2,05:50-05:55
V2,Charging,Bar2,05:55-06:00
V2,Charging,Bar2,06:00-06:05
V7,Charging,Bar2,06:05-06:10
V9,Charging,Bar2,06:10-06:15
V19,Crew Break,Bar2,06:15-06:45
V6,Charging,Bar2,07:05-07:10
V18,F11 - Blackwattle Bay,Bar2,07:08-07:11
V13,Charging,Bar2,09:40-09:45
V13,Charging,Bar2,09:45-09:50
V13,Charging,Bar2,09:50-09:55
V19,Charging,Bar2,09:50-09:55
V15,Charging,Bar2,09:55-10:00
V15,Crew Break,Bar2,10:00-10:30
V18,Crew Break,Bar2,10:25-10:55
V5,Charging,Bar2,10:40-10:45
V18,Crew Break,Bar2,10:55-11:25
V4,Crew Break,Bar2,11:00-11:30
V5,Charging,Bar2,11:25-11:30
