Vessel,Task,Wharf,Time
V4,F6 - Mosman (peak),Mos1,06:12-06:22
V3,F6 - Mosman (peak),Mos1,06:42-06:52
V2,F2 - Zoo/Mosman (Peak),Mos1,07:01-07:11
V4,F6 - Mosman (peak),Mos1,07:12-07:22
V5,F2 - Zoo/Mosman (Peak),Mos1,07:31-07:41
V3,F6 - Mosman (peak),Mos1,07:42-07:52
V1,F2 - Zoo/Mosman (Peak),Mos1,08:01-08:11
V8,F6 - Mosman (peak),Mos1,08:12-08:22
V11,F6 - Mosman (peak),Mos1,08:42-08:52
V1,F6 - Mosman (off peak),Mos1,09:16-09:26
V5,F6 - Mosman (off peak),Mos1,09:46-09:56
V4,F6 - Mosman (off peak),Mos1,10:16-10:26
