Vessel,Task,Wharf,Time
V13,Waiting,Bar5,05:35-05:40
V4,Crew Break,Bar5,05:35-06:05
V4,Waiting,Bar5,09:15-09:20
V4,Waiting,Bar5,09:20-09:25
V18,F11 - Blackwattle Bay,Bar5,09:38-09:41
V18,Waiting,Bar5,09:45-09:50
V17,Waiting,Bar5,10:00-10:05
V17,Waiting,Bar5,10:05-10:10
V19,F11 - Blackwattle Bay,Bar5,10:08-10:11
V17,Waiting,Bar5,10:10-10:15
V19,Waiting,Bar5,10:15-10:20
V17,Waiting,Bar5,10:15-10:20
V17,Waiting,Bar5,10:55-11:00
V17,Crew Break,Bar5,11:00-11:30
V10,Waiting,Bar5,11:05-11:10
V10,Waiting,Bar5,11:10-11:15
