Vessel,Task,Wharf,Time
V15,Crew Break,CQEXTRA1,05:40-06:10
V5,Charging,CQEXTRA1,05:50-05:55
V5,Charging,CQEXTRA1,05:55-06:00
V5,F5 - Neutral Bay,CQEXTRA1,06:00-06:01
V11,Charging,CQEXTRA1,06:15-06:20
V6,Charging,CQEXTRA1,06:15-06:20
V6,Charging,CQEXTRA1,06:20-06:25
V6,Charging,CQEXTRA1,06:25-06:30
V6,F5 - Neutral Bay,CQEXTRA1,06:30-06:31
V17,F9 - Rose Bay,CQEXTRA1,06:32-06:36
V17,Charging,CQEXTRA1,06:40-06:45
V17,Charging,CQEXTRA1,06:45-06:50
V17,Charging,CQEXTRA1,06:50-06:55
V6,F5 - Neutral Bay,CQEXTRA1,06:57-07:00
V6,F5 - Neutral Bay,CQEXTRA1,07:00-07:01
V3,F6 - Mosman (peak),CQEXTRA1,07:18-07:21
V7,F8 - Cockatoo Island,CQEXTRA1,07:24-07:27
V3,Charging,CQEXTRA1,07:25-07:30
V3,F5 - Neutral Bay,CQEXTRA1,07:30-07:31
V7,Charging,CQEXTRA1,07:30-07:35
V7,Charging,CQEXTRA1,07:35-07:40
V7,Charging,CQEXTRA1,07:40-07:45
V7,Charging,CQEXTRA1,07:45-07:50
V7,Charging,CQEXTRA1,07:50-07:55
V4,F8 - Cockatoo Island,CQEXTRA1,07:54-07:57
V7,Charging,CQEXTRA1,07:55-08:00
V7,F5 - Neutral Bay,CQEXTRA1,08:00-08:01
V4,Charging,CQEXTRA1,08:00-08:05
V4,Charging,CQEXTRA1,08:05-08:10
V4,Charging,CQEXTRA1,08:10-08:15
V6,F2 - Zoo/Mosman (Peak),CQEXTRA1,08:19-08:22
V6,Charging,CQEXTRA1,08:25-08:30
V7,F5 - Neutral Bay,CQEXTRA1,08:27-08:30
V7,F5 - Neutral Bay,CQEXTRA1,08:30-08:31
V1,F6 - Mosman (peak),CQEXTRA1,08:48-08:51
V1,Charging,CQEXTRA1,08:55-09:00
V1,F5 - Neutral Bay,CQEXTRA1,09:00-09:01
V6,F6 - Mosman (off peak),CQEXTRA1,09:05-09:06
V10,F8 - Cockatoo Island,CQEXTRA1,09:24-09:27
V1,F5 - Neutral Bay,CQEXTRA1,09:27-09:30
V1,F5 - Neutral Bay,CQEXTRA1,09:30-09:31
V4,F6 - Mosman (off peak),CQEXTRA1,09:35-09:36
V14,F4 - Pyrmont Bay,CQEXTRA1,09:45-09:48
V14,Charging,CQEXTRA1,09:50-09:55
V2,F8 - Cockatoo Island,CQEXTRA1,09:54-09:57
V5,F5 - Neutral Bay,CQEXTRA1,10:00-10:01
V2,Charging,CQEXTRA1,10:00-10:05
V2,F6 - Mosman (off peak),CQEXTRA1,10:05-10:06
V6,F2 - Taronga Zoo (off peak),CQEXTRA1,10:41-10:45
V15,F4 - Pyrmont Bay,CQEXTRA1,10:45-10:48
V2,F6 - Mosman (off peak),CQEXTRA1,10:56-10:59
V2,Crew Break,CQEXTRA1,11:00-11:30
