Vessel,Task,Wharf,Time
V19,Charging,CQEXTRA2,05:35-05:40
V19,Charging,CQEXTRA2,05:40-05:45
V8,Charging,CQEXTRA2,05:50-05:55
V8,F6 - Mosman (peak),CQEXTRA2,05:55-05:56
V9,Charging,CQEXTRA2,06:05-06:10
V9,Charging,CQEXTRA2,06:10-06:15
V9,Charging,CQEXTRA2,06:15-06:20
V9,F8 - Cockatoo Island,CQEXTRA2,06:20-06:21
V5,Charging,CQEXTRA2,06:20-06:25
V5,F6 - Mosman (peak),CQEXTRA2,06:25-06:26
V3,Charging,CQEXTRA2,06:30-06:35
V3,Charging,CQEXTRA2,06:35-06:40
V3,Charging,CQEXTRA2,06:40-06:45
V3,Charging,CQEXTRA2,06:45-06:50
V6,Charging,CQEXTRA2,06:45-06:50
V6,F8 - Cockatoo Island,CQEXTRA2,06:50-06:51
V3,Charging,CQEXTRA2,06:50-06:55
V3,F6 - Mosman (peak),CQEXTRA2,06:55-06:56
V5,F6 - Mosman (peak),CQEXTRA2,07:13-07:16
V4,F2 - Zoo/Mosman (Peak),CQEXTRA2,07:14-07:17
V5,F8 - Cockatoo Island,CQEXTRA2,07:20-07:21
V4,Charging,CQEXTRA2,07:20-07:25
V4,F6 - Mosman (peak),CQEXTRA2,07:25-07:26
V3,F6 - Mosman (peak),CQEXTRA2,07:43-07:46
V1,F2 - Zoo/Mosman (Peak),CQEXTRA2,07:44-07:47
V1,F8 - Cockatoo Island,CQEXTRA2,07:50-07:51
V11,F6 - Mosman (peak),CQEXTRA2,07:55-07:56
V7,F2 - Zoo/Mosman (Peak),CQEXTRA2,08:14-08:17
V3,Charging,CQEXTRA2,08:15-08:20
V3,F8 - Cockatoo Island,CQEXTRA2,08:20-08:21
V7,Charging,CQEXTRA2,08:20-08:25
V7,F6 - Mosman (peak),CQEXTRA2,08:25-08:26
V11,F6 - Mosman (peak),CQEXTRA2,08:43-08:46
V11,F8 - Cockatoo Island,CQEXTRA2,08:50-08:51
V12,F4 - Pyrmont Bay,CQEXTRA2,09:05-09:08
V12,Charging,CQEXTRA2,09:10-09:15
V7,F6 - Mosman (peak),CQEXTRA2,09:13-09:16
V12,Charging,CQEXTRA2,09:15-09:20
V7,F8 - Cockatoo Island,CQEXTRA2,09:20-09:21
V12,Charging,CQEXTRA2,09:20-09:25
V12,Charging,CQEXTRA2,09:25-09:30
V12,F9 - Watsons Bay,CQEXTRA2,09:30-09:32
V4,F2 - Taronga Zoo (off peak),CQEXTRA2,09:31-09:35
V5,F5 - Neutral Bay,CQEXTRA2,09:47-09:50
V5,F8 - Cockatoo Island,CQEXTRA2,09:50-09:51
V17,Charging,CQEXTRA2,09:55-10:00
V17,F9 - Watsons Bay,CQEXTRA2,10:00-10:02
V8,F5 - Neutral Bay,CQEXTRA2,10:17-10:20
V8,Charging,CQEXTRA2,10:20-10:25
V7,F8 - Cockatoo Island,CQEXTRA2,10:29-10:32
V7,Charging,CQEXTRA2,10:35-10:40
V15,F4 - Pyrmont Bay,CQEXTRA2,10:45-10:48
V16,Charging,CQEXTRA2,10:45-10:50
V15,Charging,CQEXTRA2,10:50-10:55
V5,F8 - Cockatoo Island,CQEXTRA2,10:59-11:02
V5,Charging,CQEXTRA2,11:05-11:10
V5,Charging,CQEXTRA2,11:10-11:15
V7,Charging,CQEXTRA2,11:15-11:20
V7,Charging,CQEXTRA2,11:20-11:25
V7,Charging,CQEXTRA2,11:25-11:30
V1,Charging,CQEXTRA2,11:25-11:30
