Vessel,Task,Wharf,Time
V8,F6 - Mosman (peak),Mos1,06:12-06:22
V4,F2 - Zoo/Mosman (Peak),Mos1,06:41-06:51
V5,F6 - Mosman (peak),Mos1,06:42-06:52
V1,F2 - Zoo/Mosman (Peak),Mos1,07:11-07:21
V3,F6 - Mosman (peak),Mos1,07:12-07:22
V7,F2 - Zoo/Mosman (Peak),Mos1,07:41-07:51
V4,F6 - Mosman (peak),Mos1,07:42-07:52
V11,F6 - Mosman (peak),Mos1,08:12-08:22
V7,F6 - Mosman (peak),Mos1,08:42-08:52
V2,F6 - Mosman (off peak),Mos1,09:21-09:31
V9,F6 - Mosman (off peak),Mos1,09:51-10:01
V1,F6 - Mosman (off peak),Mos1,10:21-10:31
