Vessel,Task,Wharf,Time
FF7,Waiting,BSY6,05:50-05:55
RR11,Crew pause,BSY6,06:20-06:25
RR11,Crew pause,BSY6,06:25-06:30
RR9,Waiting,BSY6,06:40-06:45
RR11,Crew pause,BSY6,06:55-07:00
RR11,Crew pause,BSY6,07:00-07:05
FF7,Waiting,BSY6,08:00-08:05
RR7,Waiting,BSY6,08:20-08:25
RR7,Waiting,BSY6,08:25-08:30
RR7,Crew pause,BSY6,08:50-08:55
RR7,Crew pause,BSY6,08:55-09:00
RR7,Crew pause,BSY6,09:10-09:15
RR7,Crew pause,BSY6,09:15-09:20
RR7,Crew pause,BSY6,09:20-09:25
RR7,Crew pause,BSY6,09:25-09:30
FF7,Crew pause,BSY6,09:45-09:50
FF7,Crew pause,BSY6,09:50-09:55
RR7,Crew pause,BSY6,09:55-10:00
RR7,Crew pause,BSY6,10:00-10:05
RR9,Waiting,BSY6,10:10-10:15
FF7,Waiting,BSY6,10:15-10:20
EC4,Waiting,BSY6,10:25-10:30
FF1,Waiting,BSY6,10:30-10:35
FF3,Crew pause,BSY6,10:35-10:40
FF3,Crew pause,BSY6,10:40-10:45
FF3,Waiting,BSY6,10:45-10:50
FF3,Crew pause,BSY6,10:50-10:55
FF1,Waiting,BSY6,10:50-10:55
FF1,Waiting,BSY6,10:55-11:00
FF3,Crew pause,BSY6,10:55-11:00
RR8,Crew pause,BSY6,11:00-11:05
FF1,Waiting,BSY6,11:05-11:10
RR8,Crew pause,BSY6,11:05-11:10
FF1,Waiting,BSY6,11:10-11:15
RR6,Crew pause,BSY6,11:10-11:15
FF1,Waiting,BSY6,11:15-11:20
RR6,Crew pause,BSY6,11:15-11:20
FF3,Waiting,BSY6,11:20-11:25
FF1,Waiting,BSY6,11:20-11:25
RR7,Waiting,BSY6,11:25-11:30
