Vessel,Task,Wharf,Time
EC4,Waiting,Bar4,05:40-05:45
FF8,Crew pause,Bar4,05:40-05:45
FF8,Crew pause,Bar4,05:45-05:50
24M,Waiting,Bar4,05:55-06:00
FF8,Crew pause,Bar4,06:00-06:05
FF8,Crew pause,Bar4,06:05-06:10
FF8,Crew pause,Bar4,06:10-06:15
EC3,8,Bar4,06:15-06:20
FF8,Crew pause,Bar4,06:15-06:20
EC3,8,Bar4,06:20-06:25
EC3,8,Bar4,06:25-06:30
FF6,8,Bar4,06:40-06:45
FF6,8,Bar4,06:45-06:50
FF6,8,Bar4,06:50-06:55
EC4,8,Bar4,07:05-07:10
EC4,8,Bar4,07:10-07:15
EC4,8,Bar4,07:15-07:20
FF3,8,Bar4,07:30-07:35
FF3,8,Bar4,07:35-07:40
FF3,8,Bar4,07:40-07:45
RR8,Crew pause,Bar4,08:30-08:35
RR8,Crew pause,Bar4,08:35-08:40
RR8,Waiting,Bar4,08:40-08:45
FF4,Waiting,Bar4,09:10-09:15
10M,19,Bar4,09:10-09:15
10M,19,Bar4,09:15-09:20
FF4,Waiting,Bar4,09:30-09:35
FF4,Waiting,Bar4,09:35-09:40
FF4,Waiting,Bar4,09:40-09:45
FF5,Waiting,Bar4,10:25-10:30
FF5,Crew pause,Bar4,10:50-10:55
FF5,Crew pause,Bar4,10:55-11:00
RR6,Waiting,Bar4,11:05-11:10
