Vessel,Task,Wharf,Time
RR12,Waiting,CI1,05:55-06:00
RR12,Waiting,CI1,06:00-06:05
RR9,Waiting,CI1,06:10-06:15
RR9,Waiting,CI1,06:15-06:20
RR9,Waiting,CI1,06:20-06:25
RR9,Waiting,CI1,06:25-06:30
RR9,Waiting,CI1,06:30-06:35
RR4,Waiting,CI1,06:30-06:35
FF2,14,CI1,06:45-06:50
FF2,14,CI1,06:50-06:55
FF8,14,CI1,07:20-07:25
FF8,14,CI1,07:25-07:30
FF5,14,CI1,07:55-08:00
FF5,14,CI1,08:00-08:05
FF5,Waiting,CI1,08:05-08:10
FF5,Charging,CI1,08:10-08:15
FF5,Charging,CI1,08:15-08:20
FF5,Charging,CI1,08:20-08:25
FF5,Charging,CI1,08:25-08:30
EC1,14,CI1,08:30-08:35
FF5,Charging,CI1,08:30-08:35
EC1,14,CI1,08:35-08:40
FF6,Waiting,CI1,08:35-08:40
FF5,Charging,CI1,08:35-08:40
FF5,Charging,CI1,08:40-08:45
RR7,Waiting,CI1,08:40-08:45
EC1,Waiting,CI1,08:40-08:45
FF5,Charging,CI1,08:45-08:50
EC1,Charging,CI1,08:45-08:50
EC1,Charging,CI1,08:50-08:55
FF5,Charging,CI1,08:50-08:55
RR3,Waiting,CI1,08:55-09:00
FF5,Charging,CI1,08:55-09:00
EC1,Charging,CI1,08:55-09:00
RR3,Waiting,CI1,09:00-09:05
FF5,Charging,CI1,09:00-09:05
EC1,Waiting,CI1,09:00-09:05
EC1,Charging,CI1,09:05-09:10
RR3,Waiting,CI1,09:05-09:10
FF5,Waiting,CI1,09:05-09:10
FF5,Waiting,CI1,09:10-09:15
EC5,Waiting,CI1,09:10-09:15
RR3,Charging,CI1,09:10-09:15
EC1,Charging,CI1,09:10-09:15
RR7,Waiting,CI1,09:10-09:15
EC1,Charging,CI1,09:15-09:20
EC5,Charging,CI1,09:15-09:20
FF5,Waiting,CI1,09:15-09:20
RR4,Waiting,CI1,09:15-09:20
RR7,Charging,CI1,09:15-09:20
RR3,Charging,CI1,09:15-09:20
