Vessel,Task,Wharf,Time
V15,Crew pause,CQ1,05:40-05:45
V15,Crew pause,CQ1,05:45-05:50
V12,Crew pause,CQ1,05:45-05:50
V16,Crew pause,CQ1,05:50-05:55
V12,Crew pause,CQ1,05:50-05:55
V16,Crew pause,CQ1,05:55-06:00
V11,Crew pause,CQ1,05:55-06:00
V11,Crew pause,CQ1,06:00-06:05
V14,Crew pause,CQ1,06:10-06:15
V17,Waiting,CQ1,06:10-06:15
V14,Crew pause,CQ1,06:15-06:20
V13,Waiting,CQ1,06:25-06:30
V14,Crew pause,CQ1,06:25-06:30
V8,Waiting,CQ1,06:30-06:35
V14,Crew pause,CQ1,06:30-06:35
V8,Waiting,CQ1,06:35-06:40
V5,Waiting,CQ1,06:40-06:45
V2,Waiting,CQ1,06:45-06:50
V9,Waiting,CQ1,06:50-06:55
V9,Waiting,CQ1,06:55-07:00
V11,4,CQ1,07:25-07:30
V11,4,CQ1,07:30-07:35
V13,7,CQ1,07:35-07:40
V13,7,CQ1,07:40-07:45
V4,Waiting,CQ1,07:40-07:45
V5,1,CQ1,08:10-08:15
V11,3,CQ1,08:10-08:15
V5,1,CQ1,08:15-08:20
V5,1,CQ1,08:20-08:25
V7,5,CQ1,08:35-08:40
V3,1,CQ1,08:40-08:45
V7,5,CQ1,08:40-08:45
V9,Waiting,CQ1,08:45-08:50
V3,1,CQ1,08:45-08:50
V3,1,CQ1,08:50-08:55
V6,4,CQ1,08:55-09:00
V3,Waiting,CQ1,09:00-09:05
V6,4,CQ1,09:00-09:05
V11,5,CQ1,09:05-09:10
V11,5,CQ1,09:10-09:15
V16,2,CQ1,09:10-09:15
V2,Waiting,CQ1,09:15-09:20
V16,Waiting,CQ1,09:20-09:25
V16,2,CQ1,09:25-09:30
V15,2,CQ1,09:30-09:35
V1,Waiting,CQ1,09:30-09:35
V8,5,CQ1,09:35-09:40
V13,7,CQ1,09:35-09:40
V8,5,CQ1,09:40-09:45
V13,7,CQ1,09:40-09:45
V15,2,CQ1,09:45-09:50
V13,Waiting,CQ1,09:45-09:50
V5,Waiting,CQ1,09:50-09:55
V6,Waiting,CQ1,10:00-10:05
V13,Waiting,CQ1,10:00-10:05
V14,Crew pause,CQ1,10:15-10:20
V14,Crew pause,CQ1,10:20-10:25
V8,Waiting,CQ1,10:20-10:25
V8,Waiting,CQ1,10:25-10:30
V1,Waiting,CQ1,10:30-10:35
V1,Crew pause,CQ1,10:35-10:40
V2,Crew pause,CQ1,10:40-10:45
V1,Crew pause,CQ1,10:40-10:45
V2,Crew pause,CQ1,10:45-10:50
V6,Waiting,CQ1,10:45-10:50
V16,Crew pause,CQ1,10:50-10:55
V16,Crew pause,CQ1,10:55-11:00
V16,Crew pause,CQ1,11:00-11:05
V5,Waiting,CQ1,11:00-11:05
V16,Crew pause,CQ1,11:05-11:10
V15,Waiting,CQ1,11:05-11:10
V16,Waiting,CQ1,11:10-11:15
V2,Waiting,CQ1,11:10-11:15
V15,Crew pause,CQ1,11:15-11:20
V16,Waiting,CQ1,11:20-11:25
V15,Crew pause,CQ1,11:20-11:25
V7,Waiting,CQ1,11:25-11:30
V15,Waiting,CQ1,11:25-11:30
