Vessel,Task,Wharf,Time
RR12,Waiting,Cab1,05:30-05:35
RR7,Waiting,Cab1,05:30-05:35
RR3,Waiting,Cab1,05:35-05:40
RR7,Waiting,Cab1,05:40-05:45
RR3,Waiting,Cab1,05:40-05:45
RR7,Waiting,Cab1,05:45-05:50
RR7,Waiting,Cab1,05:50-05:55
FF6,Waiting,Cab1,06:15-06:20
RR1,Waiting,Cab1,06:15-06:20
RR4,Waiting,Cab1,06:20-06:25
RR4,Waiting,Cab1,06:35-06:40
EC1,Waiting,Cab1,09:05-09:10
FF7,Waiting,Cab1,09:05-09:10
RR4,Waiting,Cab1,09:15-09:20
EC5,Waiting,Cab1,09:25-09:30
EC4,Waiting,Cab1,09:35-09:40
FF4,Waiting,Cab1,09:45-09:50
FF2,Waiting,Cab1,09:45-09:50
RR2,Waiting,Cab1,09:45-09:50
RR12,Waiting,Cab1,10:05-10:10
EC1,Waiting,Cab1,10:10-10:15
FF7,Waiting,Cab1,10:10-10:15
EC5,Waiting,Cab1,10:15-10:20
RR3,Waiting,Cab1,10:15-10:20
RR5,Waiting,Cab1,10:30-10:35
RR12,Waiting,Cab1,10:35-10:40
RR10,Waiting,Cab1,10:45-10:50
RR11,Waiting,Cab1,10:50-10:55
RR10,Waiting,Cab1,10:55-11:00
RR12,Waiting,Cab1,11:10-11:15
RR7,Waiting,Cab1,11:15-11:20
RR7,Waiting,Cab1,11:20-11:25
RR6,Waiting,Cab1,11:20-11:25
RR11,Waiting,Cab1,11:25-11:30
EC4,Waiting,Cab1,11:25-11:30
RR12,Waiting,Cab1,11:25-11:30
RR7,Waiting,Cab1,11:25-11:30
