Vessel,Task,Wharf,Time
RR7,Waiting,Chs1,05:35-05:40
RR9,Waiting,Chs1,05:50-05:55
RR7,Waiting,Chs1,05:55-06:00
FF8,Waiting,Chs1,05:55-06:00
FF6,Waiting,Chs1,06:20-06:25
RR11,Waiting,Chs1,06:25-06:30
FF6,Waiting,Chs1,06:35-06:40
RR3,Waiting,Chs1,07:05-07:10
FF8,Waiting,Chs1,07:10-07:15
RR8,Waiting,Chs1,07:25-07:30
RR2,Waiting,Chs1,08:25-08:30
RR11,Waiting,Chs1,08:25-08:30
RR11,Waiting,Chs1,08:30-08:35
RR11,Waiting,Chs1,09:20-09:25
FF4,Waiting,Chs1,09:20-09:25
EC2,Waiting,Chs1,09:25-09:30
FF5,Waiting,Chs1,09:25-09:30
EC5,Waiting,Chs1,09:50-09:55
RR12,Waiting,Chs1,10:20-10:25
FF1,Waiting,Chs1,10:20-10:25
RR8,Waiting,Chs1,10:35-10:40
24M,Waiting,Chs1,10:35-10:40
FF3,Waiting,Chs1,10:40-10:45
EC4,Waiting,Chs1,10:45-10:50
RR9,Waiting,Chs1,10:50-10:55
RR8,Waiting,Chs1,11:05-11:10
RR11,Waiting,Chs1,11:10-11:15
