Vessel,Task,Wharf,Time
10M,Waiting,PB1,05:30-05:35
10M,Waiting,PB1,05:35-05:40
EC4,Waiting,PB1,05:35-05:40
FF2,Waiting,PB1,05:40-05:45
10M,Waiting,PB1,05:40-05:45
EC4,Waiting,PB1,05:45-05:50
EC1,Waiting,PB1,05:50-05:55
FF2,Waiting,PB1,05:50-05:55
FF8,Waiting,PB1,06:00-06:05
FF8,Waiting,PB1,06:05-06:10
RR9,Waiting,PB1,06:10-06:15
FF2,Waiting,PB1,06:10-06:15
RR1,Waiting,PB1,06:10-06:15
FF8,Waiting,PB1,06:15-06:20
RR9,Charging,PB1,06:15-06:20
RR9,Waiting,PB1,06:20-06:25
RR10,Waiting,PB1,06:20-06:25
RR4,Waiting,PB1,06:25-06:30
RR9,Waiting,PB1,06:25-06:30
FF2,Waiting,PB1,06:30-06:35
EC3,7,PB1,06:35-06:40
EC3,7,PB1,06:40-06:45
RR9,Waiting,PB1,06:55-07:00
RR9,Waiting,PB1,07:00-07:05
EC1,7,PB1,07:00-07:05
RR9,Waiting,PB1,07:05-07:10
EC1,7,PB1,07:05-07:10
RR9,Waiting,PB1,07:10-07:15
RR9,Waiting,PB1,07:15-07:20
RR9,Waiting,PB1,07:20-07:25
RR9,Waiting,PB1,07:25-07:30
FF7,7,PB1,07:25-07:30
RR9,Waiting,PB1,07:30-07:35
FF7,7,PB1,07:30-07:35
FF8,7,PB1,07:50-07:55
FF8,7,PB1,07:55-08:00
RR1,Waiting,PB1,08:20-08:25
EC1,Waiting,PB1,08:25-08:30
EC1,Waiting,PB1,08:30-08:35
RR8,Waiting,PB1,08:35-08:40
FF1,Waiting,PB1,08:50-08:55
EC1,Waiting,PB1,08:50-08:55
EC4,Waiting,PB1,09:10-09:15
FF1,Waiting,PB1,09:10-09:15
EC5,Waiting,PB1,09:10-09:15
FF1,Waiting,PB1,09:15-09:20
RR1,Waiting,PB1,09:15-09:20
RR1,Waiting,PB1,09:20-09:25
FF1,Waiting,PB1,09:20-09:25
RR12,Waiting,PB1,09:30-09:35
EC5,Waiting,PB1,09:30-09:35
EC5,Waiting,PB1,09:35-09:40
EC5,Waiting,PB1,09:40-09:45
EC1,Waiting,PB1,09:40-09:45
EC5,Waiting,PB1,09:45-09:50
RR6,Waiting,PB1,09:45-09:50
EC3,Waiting,PB1,09:55-10:00
RR1,Waiting,PB1,10:00-10:05
RR6,Waiting,PB1,10:00-10:05
EC5,Waiting,PB1,10:00-10:05
EC5,Waiting,PB1,10:05-10:10
RR12,Waiting,PB1,10:05-10:10
EC3,Waiting,PB1,10:05-10:10
RR3,Waiting,PB1,10:05-10:10
EC3,Waiting,PB1,10:10-10:15
EC5,Waiting,PB1,10:10-10:15
RR12,Waiting,PB1,10:10-10:15
EC3,Waiting,PB1,10:15-10:20
EC5,Waiting,PB1,10:15-10:20
EC1,Waiting,PB1,10:15-10:20
RR3,Waiting,PB1,10:20-10:25
RR9,Waiting,PB1,10:25-10:30
RR4,Waiting,PB1,10:25-10:30
RR4,Waiting,PB1,10:30-10:35
RR9,Waiting,PB1,10:30-10:35
EC5,Waiting,PB1,10:30-10:35
RR4,Waiting,PB1,10:35-10:40
EC1,Waiting,PB1,10:35-10:40
RR4,Waiting,PB1,10:40-10:45
RR4,Waiting,PB1,10:45-10:50
RR4,Waiting,PB1,10:55-11:00
RR6,Waiting,PB1,10:55-11:00
RR7,Waiting,PB1,11:00-11:05
EC2,Waiting,PB1,11:05-11:10
EC1,Waiting,PB1,11:05-11:10
EC3,Waiting,PB1,11:05-11:10
RR9,Waiting,PB1,11:05-11:10
RR4,Waiting,PB1,11:05-11:10
FF2,Waiting,PB1,11:05-11:10
RR10,Waiting,PB1,11:05-11:10
FF7,Waiting,PB1,11:10-11:15
RR6,Waiting,PB1,11:10-11:15
RR1,Waiting,PB1,11:10-11:15
RR3,Waiting,PB1,11:10-11:15
EC2,Waiting,PB1,11:10-11:15
RR3,Waiting,PB1,11:15-11:20
RR2,Waiting,PB1,11:15-11:20
FF6,Waiting,PB1,11:15-11:20
FF7,Waiting,PB1,11:15-11:20
RR2,Waiting,PB1,11:20-11:25
EC4,Waiting,PB1,11:20-11:25
RR12,Waiting,PB1,11:20-11:25
RR9,Waiting,PB1,11:20-11:25
RR6,Waiting,PB1,11:20-11:25
RR9,Waiting,PB1,11:25-11:30
FF5,Waiting,PB1,11:25-11:30
RR1,Waiting,PB1,11:25-11:30
FF6,Waiting,PB1,11:25-11:30
24M,Waiting,PB1,11:25-11:30
10M,Waiting,PB1,11:25-11:30
RR3,Waiting,PB1,11:25-11:30
FF7,Waiting,PB1,11:25-11:30
