Vessel,Task,Wharf,Time
RR2,Waiting,Pm1,05:45-05:50
RR2,Charging,Pm1,05:50-05:55
RR2,Charging,Pm1,05:55-06:00
RR2,Charging,Pm1,06:00-06:05
RR2,Charging,Pm1,06:05-06:10
RR2,Charging,Pm1,06:10-06:15
RR2,Charging,Pm1,06:15-06:20
RR2,Charging,Pm1,06:20-06:25
RR2,Charging,Pm1,06:25-06:30
RR2,Charging,Pm1,06:30-06:35
RR2,Charging,Pm1,06:35-06:40
RR2,Waiting,Pm1,06:40-06:45
RR2,Charging,Pm1,06:45-06:50
RR2,Charging,Pm1,06:50-06:55
RR2,Charging,Pm1,06:55-07:00
RR2,Charging,Pm1,07:00-07:05
RR2,Charging,Pm1,07:05-07:10
RR2,Charging,Pm1,07:10-07:15
RR2,Waiting,Pm1,07:15-07:20
RR2,Waiting,Pm1,07:20-07:25
RR2,Waiting,Pm1,07:25-07:30
RR2,Waiting,Pm1,07:30-07:35
RR9,Waiting,Pm1,07:40-07:45
RR9,Charging,Pm1,07:45-07:50
RR9,Charging,Pm1,07:50-07:55
RR9,Waiting,Pm1,07:55-08:00
RR5,Waiting,Pm1,08:15-08:20
RR5,Waiting,Pm1,08:20-08:25
RR1,5,Pm1,08:30-08:35
RR1,5,Pm1,08:35-08:40
RR1,Waiting,Pm1,08:40-08:45
RR1,Waiting,Pm1,08:45-08:50
RR6,5,Pm1,08:55-09:00
RR6,5,Pm1,09:00-09:05
RR4,5,Pm1,09:20-09:25
RR4,5,Pm1,09:25-09:30
RR12,5,Pm1,09:45-09:50
RR12,5,Pm1,09:50-09:55
RR12,Waiting,Pm1,09:55-10:00
RR12,Waiting,Pm1,10:00-10:05
RR12,Charging,Pm1,10:05-10:10
RR12,Waiting,Pm1,10:10-10:15
RR12,Charging,Pm1,10:15-10:20
RR12,Charging,Pm1,10:20-10:25
RR12,Charging,Pm1,10:25-10:30
RR12,Waiting,Pm1,10:30-10:35
RR12,Charging,Pm1,10:35-10:40
RR12,Charging,Pm1,10:40-10:45
RR12,Charging,Pm1,10:45-10:50
RR12,Charging,Pm1,10:50-10:55
RR12,Charging,Pm1,10:55-11:00
RR12,Charging,Pm1,11:00-11:05
RR12,Waiting,Pm1,11:05-11:10
RR12,Charging,Pm1,11:10-11:15
RR12,Waiting,Pm1,11:15-11:20
RR12,Waiting,Pm1,11:20-11:25
RR12,Waiting,Pm1,11:25-11:30
