Vessel,Task,Wharf,Time
RR6,Waiting,RB1,05:40-05:45
RR1,Waiting,RB1,05:45-05:50
24M,Waiting,RB1,05:50-05:55
FF3,Waiting,RB1,05:55-06:00
RR10,Waiting,RB1,06:15-06:20
RR7,Waiting,RB1,06:45-06:50
FF6,Waiting,RB1,07:00-07:05
RR8,Waiting,RB1,07:05-07:10
RR7,Waiting,RB1,07:10-07:15
RR7,Waiting,RB1,07:20-07:25
RR4,Waiting,RB1,07:35-07:40
RR6,Waiting,RB1,07:40-07:45
FF3,Waiting,RB1,07:45-07:50
FF3,Waiting,RB1,07:55-08:00
EC1,Waiting,RB1,08:10-08:15
RR2,Waiting,RB1,08:40-08:45
RR2,Waiting,RB1,08:45-08:50
RR2,Waiting,RB1,08:50-08:55
EC2,Waiting,RB1,08:55-09:00
RR1,Waiting,RB1,09:05-09:10
FF1,Waiting,RB1,09:15-09:20
RR12,Waiting,RB1,09:20-09:25
FF1,Waiting,RB1,09:30-09:35
FF3,Waiting,RB1,09:35-09:40
24M,Waiting,RB1,09:40-09:45
24M,Charging,RB1,09:45-09:50
24M,Waiting,RB1,09:50-09:55
RR10,Waiting,RB1,09:55-10:00
RR12,Waiting,RB1,10:05-10:10
FF1,Waiting,RB1,10:20-10:25
RR12,Waiting,RB1,10:25-10:30
EC4,Waiting,RB1,10:35-10:40
RR10,Waiting,RB1,10:45-10:50
RR10,Charging,RB1,10:50-10:55
RR10,Waiting,RB1,10:55-11:00
24M,Waiting,RB1,11:20-11:25
EC4,Waiting,RB1,11:25-11:30
