Vessel,Task,Wharf,Time
FF1,Waiting,WB1,06:25-06:30
FF1,Waiting,WB1,06:30-06:35
RR11,16,WB1,06:35-06:40
FF1,Waiting,WB1,06:35-06:40
RR11,16,WB1,06:40-06:45
RR11,16,WB1,06:45-06:50
RR11,Waiting,WB1,06:45-06:50
RR3,16,WB1,07:00-07:05
RR3,16,WB1,07:05-07:10
RR3,Waiting,WB1,07:10-07:15
RR3,16,WB1,07:10-07:15
RR6,16,WB1,07:25-07:30
RR6,16,WB1,07:30-07:35
RR6,16,WB1,07:35-07:40
RR6,Waiting,WB1,07:35-07:40
RR6,Waiting,WB1,07:40-07:45
RR1,Waiting,WB1,07:45-07:50
RR5,16,WB1,07:50-07:55
RR1,Waiting,WB1,07:50-07:55
RR5,16,WB1,07:55-08:00
RR5,16,WB1,08:00-08:05
RR8,Waiting,WB1,08:05-08:10
